"","Bearbeiter/in","Bogennummer_alph","Bogennummer_num","Bogennummer_ind","Digi_Index","Ort","Ort_Zusatz","Kreis","Provinz","tray"
"1","JH","a'",25,"10","Mappe_01_0001","Vilchband","999","Mosbach","Baden","II_90"
"2","JH","b'",21,"6","Mappe_01_0002","Schloßau","999","Buchen","Baden","II_58"
"3","JH","b'",23,"5","Mappe_01_0003","Bretzingen","999","Buchen","Baden","II_91"
"4","JH","c'",23,"8","Mappe_01_0004","Bronnacker","999","Buchen","Baden","II_92"
"5","JH","d'",18,"5","Mappe_01_0005","Oftersheim","999","Mannheim","Baden","II_60"
"6","JH","d'",20,"1","Mappe_01_0006","Neckarsteinach","999","Bergstraße","Gau Hessen Nassau","II_60"
"7","JH","d'",22,"3","Mappe_01_0007","Auerbach","999","Mosbach","Baden","II_60"
"8","JH","f'",18,"2","Mappe_01_0008","Kirrlach","999","Bruchsal","Baden","III_19"
"9","JH","f'",20,"4","Mappe_01_0009","Rohrbach","b. S.","Sinsheim (Elsenz)","Baden","III_19"
"10","JH","g'",18,"4","Mappe_01_0010","Buchenau","999","Bruchsal","Gau Baden","III_20"
"11","JH","g'",20,"2","Mappe_01_0011","Sulzfeld","999","Sinsheim","Baden","III_20"
"12","JH","i'",18,"3","Mappe_01_0012","Stupferich","999","Karlsruhe","999","III_22"
"13","JH","t'",17,"8","Mappe_01_0013","Weilersbach","999","Villingen (Schw.)","Baden","III_32"
"14","JH","v'",20,"1","Mappe_01_0014","Emmingen","ab Egg","Donaueschingen","Baden","III_34"
"15","JH","x'",17,"13","Mappe_01_0015","Weizen","999","Waldshut","Baden","III_36"
"16","JH","x'",19,"12","Mappe_01_0016","Singen","999","Konstanz","Baden","III_36"
"17","JH","x'",21,"9","Mappe_01_0017","Hödingen","999","Überlingen","Baden","III_36"
"18","JH","z'",22,"1","Mappe_01_0018","Konztanz","999","Konstanz","Baden","III_38"
"19","JH","i'",16,"6","Mappe_01_0019","Würmersheim","999","Rastatt","Baden","III_5"
"20","JH","l'",12,"2","Mappe_01_0020","Zöbersdorf","999","Straßburg-Land","Unter-Elsaß","III_7"
"21","JH","l'",15,"15","Mappe_01_0021","Sinzheim","999","Bühl","Baden","III_7"
"22","JH","u'",14,"1","Mappe_01_0022","Auenheim","999","Kehl","Baden","III_13"
"23","JH","v'",16,"1","Mappe_01_0023","Seebach","999","Bühl","Baden","III_13"
"24","JH","p'",13,"7","Mappe_01_0024","Ichenheim","999","Lahr","Baden","III_10"
"25","JH","p'",16,"7","Mappe_01_0025","Löcherberg","999","Offenburg","Baden","III_10"
"26","JH","s'",13,"1","Mappe_01_0026","Niederhausen","999","Emmendingen","Baden","III_12"
"27","JH","s'",13,"13","Mappe_01_0027","Bombach","999","Emmendingen","Baden","III_12"
"28","JH","t'",13,"2","Mappe_01_0028","Bottingen","999","Emmendingen","Baden","III_12"
"29","JH","v'",13,"11","Mappe_01_0029","Kirchhofen","999","Freiburg","Gau Baden","III_13"
"30","JH","w'",12,"2","Mappe_01_0030","Blodelsheim","999","Gebweiler","Elsaß","III_14"
"31","JH","x'",13,"6","Mappe_01_0031","Elbenschwand","999","Lörrach","Baden","III_14"
"32","JH","y'",15,"20","Mappe_01_0032","Höchenschwand","999","Waldshut","Baden","III_15"
"33","JH","z'",14,"4","Mappe_01_0033","Schwörstadt","999","Säckingen","Baden","III_16"
"34","JH","z'",15,"18","Mappe_01_0034","Birkingen","999","Waldshut","Baden","III_16"
"35","JH","s'",16,"1","Mappe_01_0035","Gutach","999","Wolfach","Baden","III_12"
"36","JH","v'",17,"8","Mappe_01_0036","Hüfingen","999","Donaueschingen","Baden","III_34"
"37","JH","O'",6,"10","XXI_01_0001","Bleibuir","999","Schleiden","Rheinland","II_15"
"38","JH","O'",7,"14","XXI_01_0002","Kreuzweingarten","999","Euskirchen Reg. Bez. Köln","Rheinland","II_15"
"39","JH","O'",9,"17","XXI_01_0003","Pissenheim","999","Bonn_Land","Rheinprovinz","II_15"
"40","JH","O'",14,"18","XXI_01_0004","Dreifelden","999","Oberwesterwald","Hessen-Nassau","II_45"
"41","JH","O'",21,"12","XXI_01_0005","Ober-Seibertenrod","999","Alsfeld","Oberhessen","II_45"
"42","JH","O'",26,"3","XXI_01_0006","Hofbieber","999","Fulda","Hessen-Nassau","II_78"
"43","JH","P'",12,"9","XXI_01_0007","Dierdorf","999","Neuwied","Rheinland","II_16"
"44","JH","P'",15,"15","XXI_01_0008","Ellar","999","Limburg","Hessen-Nassau","II_46"
"45","JH","P'",17,"12","XXI_01_0009","Hermannstein","999","Wetzlar","Hessen-Nassau","II_46"
"46","JH","P'",20,"2","XXI_01_0010","Harbach","999","Gießen","Oberhessen","II_46"
"47","JH","P'",23,"14","XXI_01_0011","Stockhausen","999","Lauterbach","Oberhessen","II_79"
"48","JH","Q'",5,"4","XXI_01_0012","Hellenthal","999","Schleiden","Rheinprovinz","II_17"
"49","JH","Q'",11,"6","XXI_01_0013","Neuwied","999","Neuwied","Rhein","II_17"
"50","JH","Q'",13,"20","XXI_01_0014","Montabaur","999","Unterwesterwald","Hessen-Nassau","II_47"
"51","JH","Q'",17,"13","XXI_01_0015","Brandoberdorf","999","Wetzlar","Hessen-Nassau","II_47"
"52","JH","Q'",19,"13","XXI_01_0016","Wohnbach","999","Friedberg","Oberhessen","II_47"
"53","JH","Q'",21,"8","XXI_01_0017","Glashütten","999","Büdingen","Oberhessen","II_47"
"54","JH","Q'",23,"16","XXI_01_0018","Hintersteinau","999","Schlüchtern","Hessen-Nassau","II_80"
"55","JH","Q'",25,"16","XXI_01_0019","Dalherda","999","Fulda","Hessen-Nassau","II_80"
"56","JH","Q'",28,"5","XXI_01_0020","Unterwaldbehrungen","999","Mellrichstadt /Rhön","999","II_80"
"57","JH","R'",7,"4","XXI_01_0021","Antweiler","Ahr.","Ahrweiler","Rheinprovinz","II_18"
"58","JH","R'",10,"4","XXI_01_0022","Obermendig","999","Mayen","Rheinprovinz","II_18"
"59","JH","R'",16,"12","XXI_01_0023","Eisenbach","999","Limburg","Hessen-Nassau","II_48"
"60","JH","R'",35,"4","XXI_01_0024","Tschirn","999","Kronach","Bayrische Ostmark Bayern","II_109"
"61","JH","S'",3,"2","XXI_01_0025","St. Vith","999","Malmedy","Rheinprovinz","II_19"
"62","JH","S'",9,"21","XXI_01_0026","Düngenheim","999","Kochem","Rheinprovinz","II_19"
"63","JH","S'",17,"17","XXI_01_0027","Arnoldshain","999","Usingen","Hessen-Nassau","II_49"
"64","JH","S'",20,"10","XXI_01_0028","Kaichen","999","Friedberg","Oberhessen","II_49"
"65","JH","S'",21,"6","XXI_01_0029","Düdelsheim","999","Büdingen","Oberhessen","II_49"
"66","JH","S'",24,"3","XXI_01_0030","Marjoss","999","Schlüchtern","Hessen-Nassau","II_82"
"67","JH","S'",26,"2","XXI_01_0031","Geroda","999","Brückenau /Rhön","Gau Würzburg","II_82"
"68","JH","S'",28,"3","XXI_01_0032","Brendlorenzen","999","Neustadt a/s","999","II_82"
"69","JH","S'",29,"8","XXI_01_0033","Aub","i. Grabfeld","Königshofen i. Grabfeld","Mainfranken","II_82"
"70","JH","S'",32,"12","XXI_01_0034","Koburg","999","Koburg","Gau Bayerische Ostmark","II_82"
"71","JH","T'",5,"3","XXI_01_0035","Weinsheim","999","Prüm","Rheinland","II_20"
"72","JH","T'",7,"4","XXI_01_0036","Gees","999","Daun","Rheinland","II_20"
"73","JH","T'",12,"2","XXI_01_0037","Udenhausen","999","St. Goar","Rheinprovinz","II_20"
"74","JH","T'",14,"10","XXI_01_0038","Laufenselden","999","Untertaunuskreis","Hessen-Nassau","II_50"
"75","JH","T'",15,"6","XXI_01_0039","Strinz-Trinitatis","999","Untertaunuskreis","Hessen-Nassau","II_50"
"76","JH","T'",34,"18","XXI_01_0040","Kronach","999","Kronach-Stadtsteinach","Gau Bayreuth","II_83"
"77","JH","T'",36,"1","XXI_01_0041","Reichenbach","b. W.","Kronach-Stadtsteinach","Bayer. Ostmark","II_111"
"78","JH","T'",37,"8","XXI_01_0042","Weislenreuth","999","Münchberg","Oberfranken","II_111"
"79","JH","T'",39,"1","XXI_01_0043","Rehau","999","Rehau","Bay. Ostmark","II_111"
"80","JH","U'",4,"7","XXI_01_0044","Lichtenborn","999","Prüm","Rheinland","II_21"
"81","JH","U'",6,"4","XXI_01_0045","Ralesfeld","999","Prüm","Rheinprovinz","II_21"
"82","JH","U'",7,"13","XXI_01_0046","Manderscheid","999","Wittlich","Rheinprovinz","II_21"
"83","JH","U'",9,"14","XXI_01_0047","Elller","999","Kochem","Rheinprovinz","II_21"
"84","JH","U'",14,"15","XXI_01_0048","Beltheim","999","Simmern","Rheinland","II_51"
"85","JH","U'",13,"12","XXI_01_0049","Bornick","999","Goarshausen","Hessen-Nassau","II_51"
"86","JH","U'",17,"7","XXI_01_0050","Lorsbach","999","Main-Taunus","Hessen-Nassau","II_51"
"87","JH","U'",19,"11","XXI_01_0051","Mühlheim","a. Main","Offenbach","Starkenburg","II_51"
"88","JH","U'",24,"1","XXI_01_0052","Rengersbrunn","999","Gemünden","Unterfranken","II_84"
"89","JH","U'",26,"6","XXI_01_0053","Obereschenbach","999","Hammelburg","Bayern","II_84"
"90","JH","U'",28,"8","XXI_01_0054","Maisbach","999","Schweinfurt","Mainfranken","II_84"
"91","JH","U'",32,"12","XXI_01_0055","Eggenbach","999","Staffelstein","Oberfranken","II_84"
"92","JH","U'",34,"12","XXI_01_0056","Altendorf","999","Lichtenfels","999","II_84"
"93","JH","U'",36,"13","XXI_01_0057","Ködnitz","999","Kulmbach","Oberfranken","II_112"
"94","JH","U'",38,"11","XXI_01_0058","Weißenhaid","Post Weißenstadt (Fichtelgeb.)","Selb","Oberfranken","II_112"
"95","JH","U'",39,"8","XXI_01_0059","Neuhaus","a. Eger","Selb","Ofr.","II_112"
"96","JH","V'",16,"1","XXI_01_0060","Dotzheim","999","Wiesbaden","Hessen-Nassau","II_52"
"97","JH","V'",21,"9","XXI_01_0061","Strötzbach","999","Alzenau","Mainfranken","II_52"
"98","JH","V'",29,"7","XXI_01_0062","Holzhausen","999","Haßfurt","Mainfranken","II_85"
"99","JH","W'",6,"14","XXI_01_0063","Speicher","999","Bitburg","Rheinprovinz","II_23"
"100","JH","W'",8,"1","XXI_01_0064","Salmrohr","999","Wittlich","Rheinland","II_23"
"101","JH","W'",10,"1","XXI_01_0065","Irmenach-Beuren","999","Zell/Mosel Reg. Bez. Koblenz","Rheinprovinz","II_23"
"102","JH","W'",15,"6","XXI_01_0066","Essenheim","999","Mainz","Hessen","II_53"
"103","JH","W'",17,"4","XXI_01_0067","Astheim","999","Groß-Gerau","Starkenburg (Land Hessen)","II_53"
"104","JH","W'",20,"3","XXI_01_0068","Altheim","999","Dieburg","Starkenburg (Land Hessen)","II_53"
"105","JH","W'",24,"2","XXI_01_0069","Einsiedel","999","Markt Heidenfeld","Gau Mainfranken","II_86"
"106","JH","W'",26,"2","XXI_01_0070","Thüngen","999","Karlstadt","Mainfranken","II_86"
"107","JH","W'",28,"2","XXI_01_0071","Hirschfeld","999","Schweinfurt","Mainfranken","II_86"
"108","JH","W'",30,"6","XXI_01_0072","Neuschleichach","999","Haßfurt","Mainfranken","II_86"
"109","JH","W'",32,"1","XXI_01_0073","Baunach","999","Ebern","Mainfranken","II_86"
"110","JH","W'",34,"7","XXI_01_0074","Drosendorf","E","Ebermannstadt","Bayer. Ostmark","II_86"
"111","JH","W'",38,"9","XXI_01_0075","Ahornberg","999","Kemnath","Byern","II_113"
"112","JH","W'",39,"10","XXI_01_0076","Fuchsmühl","999","Tirschenreuth","Oberpfalz","II_113"
"113","JH","X'",12,"1","XXI_01_0077","Mangerschied","999","Simmern","Rheinprovinz","II_24"
"114","JH","X'",14,"5","XXI_01_0078","Planig","999","Bingen","Rheinhessen","II_54"
"115","JH","X'",21,"9","XXI_01_0079","Großwallstadt","999","Obernburg a. M","Mainfranken","II_54"
"116","JH","X'",36,"10","XXI_01_0080","Geußen","999","Pegnitz, Oberfranken","Gau Bayr. Ostmark","II_113"
"117","JH","Y'",6,"3","XXI_01_0081","Born","999","Grevenmacher","Luxemburg","II_25"
"118","JH","Y'",14,"15","XXI_01_0082","Münster","am Stein","Kreuznach","Rheinprovinz","II_55"
"119","JH","Y'",16,"5","XXI_01_0083","Framersheim","999","Alzey","Rheinhessen","II_55"
"120","JH","Y'",17,"7","XXI_01_0084","Gernsheim","999","Groß-Gerau","Hessen-Nassau","II_55"
"121","JH","Y'",20,"3","XXI_01_0085","Nieder-Kainsbach ","(Odw)","Erbach","999","II_55"
"122","JH","Y'",25,"10","XXI_01_0086","Eisingen","999","Würzburg","Mainfranken","II_88"
"123","JH","Y'",28,"2","XXI_01_0087","Sommerach","999","Gerolzhofen","Unterfranken","II_88"
"124","JH","Y'",30,"1","XXI_01_0088","Wasserberndorf","999","Scheinfeld","Oberfr. U. Mittelfr.","II_88"
"125","JH","Y'",32,"4","XXI_01_0089","Sambach","999","Höchstadt an der Aisch","Bayrische Ostmark","II_88"
"126","JH","Y'",34,"7","XXI_01_0090","Ebermannstadt","999","Ebermannstadt","Oberfranken","II_88"
"127","JH","Y'",37,"7","XXI_01_0091","Tremmersdorf","999","Eschenbach","Oberpfalz","II_114"
"128","JH","Y'",39,"3","XXI_01_0092","Kirchendemenreuth","999","Neustadt a/s","Oberpfalz","II_114"
"129","JH","Z'",8,"999","XXI_01_0093","Hermeskeil","999","Trier-Land-Ost","Rheinprovinz","II_26"
"130","JH","Z'",10,"7","XXI_01_0094","Siesbach","999","Birkenfeld","Rheinprovinz","II_26"
"131","JH","Z'",11,"1","XXI_01_0095","Hintertiefenbach","999","Birkenfeld","Rheinprovinz","II_26"
"132","JH","Z'",22,"1","XXI_01_0096","Laudenbach","999","Miltenberg","Rheinfranken","II_56"
"133","JH","Z'",35,"3","XXI_01_0097","Bronn","999","Pegnitz","Oberfranken","II_114"
"134","JH","a'",5,"14","XXI_01_0098","Bilzingen","999","Saarburg","Rheinprovinz","II_27"
"135","JH","a'",7,"7","XXI_01_0099","Hentern","999","Saarburg","Rheinprovinz","II_27"
"136","JH","a'",9,"13","XXI_01_0100","Nohfelden","999","Birkenfeld","Rheinprovinz","II_27"
"137","JH","a'",11,"6","XXI_01_0101","Rathsweiler","999","Kusel","Saarpfalz","II_27"
"138","JH","a'",13,"16","XXI_01_0102","Schweisweiler","999","Rockenhausen","Saarpfalz","II_57"
"139","JH","a'",16,"6","XXI_01_0103","Großbockenheim","999","Frankenthal","Rheinpfalz","II_57"
"140","JH","a'",20,"1","XXI_01_0104","Kocherbach","999","Bergstraße","Starkenburg","II_57"
"141","JH","a'",27,"10","XXI_01_0105","Rodheim","999","Uffenheim","Bayern","II_90"
"142","JH","a'",30,"7","XXI_01_0106","Unternesselbach","999","Neustadt Aisch","Franken","II_90"
"143","JH","a'",31,"8","XXI_01_0107","Rezelsdorf","999","Höchstadt an der Aisch","999","II_90"
"144","JH","a'",33,"6","XXI_01_0108","Neunkirchen a. B.","999","Forchheim","999","II_90"
"145","JH","a'",36,"5","XXI_01_0109","Hartenstein","999","Hersbruck","Mittelfranken","II_114"
"146","JH","a'",37,"4","XXI_01_0110","Vilseck","999","Amberg","Bayrische Ostmark","II_114"
"147","JH","a'",40,"4","XXI_01_0111","Enzenreth-Hochdorf","999","Neustadt W.N.","Niederbayern-Oberpfalz","II_114"
"148","JH","b'",42,"1","XXI_01_0112","Eslarn","999","Vohenstrauss","Gau Bayrisch Ostmark","II_115"
"149","JH","c'",8,"5","XXI_01_0113","Hüttersdorf","999","Saarlautern","Rheinland","II_29"
"150","JH","c'",9,"12","XXI_01_0114","Niederlinxweiler","999","St. Wendel","Saarland","II_29"
"151","JH","c'",11,"21","XXI_01_0115","Hütschenhausen","999","Kaiserslautern","Pfalz","II_29"
"152","JH","c'",13,"8","XXI_01_0116","Kaiserslautern","999","Kaiserslautern","Gau Westmark","II_59"
"153","JH","c'",16,"5","XXI_01_0117","Forst","a. d. Weinstr.","Neustadt a. d. Weinstr.","Pfalz","II_59"
"154","JH","c'",26,"3","XXI_01_0118","Herrrenzimmern","999","Mehrgautheim","Würtemberg","II_92"
"155","JH","c'",32,"11","XXI_01_0119","Ammerndorf","999","Fürt i. Bay.","Franken","II_92"
"156","JH","c'",34,"4","XXI_01_0120","Fischbach","b. Nürnberg","Mittelfranken","Bayern","II_92"
"157","JH","c'",35,"7","XXI_01_0121","Schupf","999","Hersbruck","Mittelfranken","II_115"
"158","JH","c'",37,"3","XXI_01_0122","Illschwang","999","Amberg-Sulzberg","Gau Bay. Ostmark","II_115"
"159","JH","c'",40,"3","XXI_01_0123","Nabburg","999","Oberpfalz","Bayern","II_115"
"160","JH","d'",28,"2","XXI_01_0124","Rothenburg","ob der Tauber","Rothenburg ob der Tauber","Franken","II_93"
"161","JH","d'",30,"2","XXI_01_0125","Neustetten","999","Ansbach","999","II_93"
"162","JH","d'",41,"3","XXI_01_0126","Kulz","999","Neunburg v. Wald","Oberpfalz/Bayern","II_115"
"163","JH","e'",8,"14","XXI_01_0127","Holz","999","Saarbrücken-Land","999","III_1"
"164","JH","e'",10,"1","XXI_01_0128","Kirkel-Neuhäusel","999","Homburg","Gau Saarpfalz","III_1"
"165","JH","e'",12,"6","XXI_01_0129","Maßweiler","999","Zweibrücken","Saarpfalz","III_1"
"166","JH","e'",13,"5","XXI_01_0130","Leimen","999","Pirmasens","Westmark","III_1"
"167","JH","e'",16,"5","XXI_01_0131","Großfischlingen","999","Landau","Saarpfalz","III_1"
"168","JH","e'",25,"5","XXI_01_0132","Künzelsau","999","Künzelsau","Würtemberg","III_18"
"169","JH","e'",30,"6","XXI_01_0133","Elpersdorf","999","Ansbach","999","III_40"
"170","JH","e'",34,"4","XXI_01_0134","Allersberg","999","Hilpoltstein","Franken","III_40"
"171","JH","e'",36,"3","XXI_01_0135","Helena","999","Neumarkt i. d. Obpf.","Ostmark","III_40"
"172","JH","e'",38,"3","XXI_01_0136","Winbuch","999","Oberpfalz","Bayern","III_40"
"173","JH","f'",27,"10","XXI_01_0137","Gailroth","999","Rothenburg/T","Mittelfranken","III_19"
"174","JH","f'",32,"4","XXI_01_0138","Spalt","999","Schwabach","Bayern","III_40"
"175","JH","f'",40,"1","XXI_01_0139","Fischbach","999","888","Oberpfalz","III_40"
"176","JH","f'",42,"5","XXI_01_0140","Untertraubenbach","999","Cham","Niederbayern-Oberpfalz","III_40"
"177","JH","f'",43,"7","XXI_01_0141","Zenching","999","Kötzting","Niederbayern","VI_1"
"178","JH","E'",18,"1","XXI_05_0001","[Rigen]","999","Brilon","Westfalen","II_36"
"179","JH","B'",14,"1","XXI_05_0002","Dinker","999","Soest","Westfalen","II_34"
"180","JH","t'",20,"10","XXI_05_0003","Bölhorst","999","Minden","Westfalen","III_32"
"181","JH","N'",7,"3","XXI_05_0004","Niederberg","999","Euskirchen","Rheinland","II_14"
"182","JH","Z",29,"2","XXI_05_0005","Altenau","i. Harz","Zellerfeld","Hannover","I_30"
"183","JH","u'",15,"4","XXI_05_0006","Achelriede","999","Osnabrück-Land","Hannover","III_13"
"184","JH","t",23,"11","XXI_05_0007","Nienstedt","999","Springe","Hannover","I_27"
"185","JH","t",27,"13","XXI_05_0008","Adenstedt","999","Peine","Hannover","I_27"
"186","JH","t",31,"12","XXI_05_0009","Königslutter","999","Helmstedt","Land Braunschweig","I_40"
"187","JH","t",21,"14","XXI_05_0010","Liekwegen","999","Grafschaft Schaumburg","Hannover","I_27"
"188","JH","t",9,"7","XXI_05_0011","Sieringhoek","999","Bentheim","Hannover","I_26"
"189","JH","t",12,"5","XXI_05_0012","Bevergern","999","Tecklenburg","Westfalen","I_26"
"190","JH","t",14,"3","XXI_05_0013","Hambüren","999","Tecklenburg","Westfalen","I_26"
"191","JH","t",18,"4","XXI_05_0014","Gehlenbeck","999","Lübbecke i. Wstf.","Westfalen","I_26"
"192","JH","u",25,"6","XXI_05_0015","Jeinsen","999","Springe","Hannover","II_61"
"193","JH","u",30,"4","XXI_05_0016","Mascherode","999","Braunschweig","Braunschweig","II_61"
"194","JH","v",8,"2","XXI_05_0017","Lünten","999","Ahaus","Westfalen","II_1"
"195","JH","v",9,"3","XXI_05_0018","Heek","999","Ahaus","Westfalen","II_1"
"196","JH","v",11,"4","XXI_05_0019","Borghorst-Dumpte","999","Steinfurt","Westfalen","II_1"
"197","JH","v",14,"1","XXI_05_0020","Kattenvenne","999","Tecklenburg","Westfalen","II_31"
"198","JH","v",15,"11","XXI_05_0021","Aschendorf","999","Osnabrück-Land","Hannover","II_31"
"199","JH","v",20,"4","XXI_05_0022","Talle","999","Lemgo","Lippe","II_31"
"200","JH","v",22,"5","XXI_05_0023","Hemeringen","999","Hameln-Prymont","Hannover","II_31"
